,decision,Gold_benefits,Platinum_upgrade,Platinum_upgrade_merit,age,female,income
864,0.0,1,0,0,45.75,0,60000000
865,0.0,0,0,1,50.166668,0,60000000
866,0.0,0,1,0,53.666668,0,391000000
867,0.0,0,0,1,46.0,0,266000000
868,0.0,0,1,0,54.916668,0,400000000
870,0.0,1,0,0,49.583332,1,500000000
871,0.0,0,0,1,33.666668,0,60000000
872,1.0,0,1,0,45.666668,0,500000000
873,0.0,0,1,0,43.416668,0,350000000
874,0.0,0,0,1,55.333332,0,120000000
876,0.0,1,0,0,60.833332,0,180000000
877,0.0,0,0,1,28.916666,0,65000000
878,0.0,0,0,1,48.25,0,60000000
879,0.0,0,1,0,57.0,0,432000000
881,0.0,1,0,0,40.333332,1,600000000
883,0.0,1,0,0,46.666668,0,390000000
884,0.0,0,0,1,46.916668,0,60000000
885,0.0,1,0,0,50.75,0,300000000
886,1.0,0,0,1,56.083332,0,60000000
887,0.0,1,0,0,49.166668,1,25000000
888,0.0,0,1,0,49.416668,0,65000000
889,0.0,0,0,1,58.583332,0,60000000
890,0.0,0,1,0,48.75,1,180000000
891,0.0,1,0,0,42.416668,0,300000000
892,0.0,1,0,0,49.166668,0,60000000
893,0.0,0,1,0,49.75,1,500000000
894,0.0,1,0,0,38.416668,1,60000000
895,0.0,0,0,1,46.083332,0,60000000
897,0.0,0,1,0,43.083332,0,750000000
898,0.0,0,1,0,51.916668,0,25000000
900,0.0,1,0,0,47.833332,0,300000000
903,0.0,0,0,1,46.75,0,560000000
905,0.0,0,1,0,38.25,1,60000000
907,0.0,0,1,0,53.666668,1,25000000
908,0.0,0,0,1,45.416668,0,331000000
910,0.0,0,0,1,40.833332,0,300000000
911,0.0,0,0,1,39.083332,0,60000000
912,0.0,0,0,1,53.166668,0,300000000
913,0.0,0,1,0,37.5,1,60000000
914,0.0,1,0,0,49.166668,0,408000000
915,0.0,0,1,0,50.166668,0,60000000
916,0.0,1,0,0,45.333332,0,488000000
917,0.0,0,1,0,44.0,0,60000000
