id;date;treatment;reported_diceroll;correct_guess;age;female;education;universitydegree;sector;employed;highincome;politicalright;believeingod;believeinfreewill;generaltrust
99;07.09.2019 10:09;Trust_promise;5;1;29;0;2;0;1;1;0;3;1;7;5
100;07.09.2019 10:11;Trust_promise;2;0;37;1;3;1;1;1;1;4;4;10;8
101;07.09.2019 10:10;Control;6;0;27;0;3;1;2;1;0;9;9;8;8
102;07.10.2019 10:30;Trust_promise;5;1;29;0;3;1;1;1;0;5;1;11;8
103;07.09.2019 10:11;Trust_promise;6;0;58;1;2;0;2;1;NA;7;7;8;5
104;07.09.2019 10:13;Control;4;1;63;0;2;0;1;1;1;8;6;11;10
105;07.09.2019 10:13;Control;1;0;29;1;4;1;1;1;0;7;1;6;5
106;07.09.2019 10:13;Control;2;0;61;0;2;0;3;0;0;8;2;10;6
107;07.09.2019 10:14;Trust_promise;2;1;29;0;4;1;1;1;1;7;1;10;8
108;07.09.2019 10:15;Control;4;1;51;1;3;1;3;0;NA;8;3;11;8
109;07.09.2019 10:17;Trust_promise;5;1;54;0;3;1;1;1;1;7;1;9;8
110;07.09.2019 10:13;Control;2;1;23;1;2;0;2;1;1;6;3;6;3
111;07.09.2019 10:15;Control;3;0;43;1;1;0;3;0;0;6;11;11;7
112;07.09.2019 10:13;Trust_promise;1;0;22;0;3;1;3;0;0;7;4;10;8
113;07.09.2019 10:15;Trust_promise;6;1;71;1;3;1;3;0;0;2;2;9;9
114;07.09.2019 10:16;Control;2;1;72;1;2;0;3;0;0;6;10;7;7
115;07.09.2019 10:17;Trust_promise;1;1;40;1;3;1;1;1;0;6;11;11;9
116;07.09.2019 10:16;Control;2;1;24;1;2;0;2;1;0;6;3;8;11
117;07.09.2019 10:18;Trust_promise;4;0;65;0;3;1;3;0;0;3;4;10;9
118;07.09.2019 10:17;Control;3;1;23;1;3;1;1;1;0;3;1;10;8
119;07.09.2019 10:17;Control;4;1;26;1;3;1;2;1;0;2;1;6;5
120;07.09.2019 10:16;Trust_promise;4;0;40;1;3;1;1;1;1;8;8;10;9
121;07.09.2019 10:18;Trust_promise;4;0;47;1;2;0;2;1;0;6;3;11;6
122;07.09.2019 10:19;Control;5;0;25;0;3;1;1;1;1;8;1;10;7
123;07.09.2019 10:34;Trust_promise;6;0;76;0;3;1;3;0;0;7;5;5;7
124;07.09.2019 10:20;Control;2;1;62;0;2;0;3;0;0;6;3;8;10
125;07.09.2019 10:21;Trust_promise;2;1;26;1;2;0;3;0;0;11;1;11;8
126;07.09.2019 10:20;Control;2;1;37;0;3;1;1;1;0;5;1;11;8
127;07.09.2019 10:22;Control;5;1;41;1;2;0;2;1;NA;6;11;8;7
128;07.09.2019 10:22;Trust_promise;2;1;26;1;2;0;1;1;0;6;1;11;7
129;07.09.2019 10:22;Control;3;0;39;1;2;0;2;1;NA;6;6;11;9
130;07.09.2019 10:24;Control;4;1;19;1;2;0;1;1;0;11;1;6;5
131;07.09.2019 10:22;Trust_promise;4;0;34;0;4;1;2;1;0;6;1;11;10
132;07.09.2019 10:23;Control;2;0;52;1;4;1;1;1;1;4;6;11;8
133;07.09.2019 10:23;Trust_promise;1;0;21;1;3;1;3;0;NA;4;7;8;4
134;07.09.2019 10:24;Control;4;1;18;1;1;0;1;1;0;5;2;9;7
135;07.09.2019 10:25;Trust_promise;1;0;32;0;4;1;2;1;0;9;1;9;8
136;07.09.2019 10:27;Trust_promise;6;0;29;0;4;1;2;1;0;3;1;11;7
137;07.09.2019 10:26;Control;1;0;60;1;2;0;2;1;0;5;8;9;6
138;07.09.2019 10:34;Control;6;1;82;0;2;0;3;0;0;9;6;6;10
139;07.09.2019 10:27;Control;4;1;31;1;3;1;2;1;0;11;1;11;7
140;07.09.2019 10:30;Trust_promise;3;0;22;1;2;0;3;0;NA;4;5;6;7
141;07.09.2019 10:28;Trust_promise;5;1;47;0;4;1;1;1;1;3;1;10;8
142;07.09.2019 10:32;Trust_promise;5;0;19;0;2;0;3;0;0;11;1;10;8
143;07.09.2019 10:30;Control;4;1;24;0;2;0;1;1;0;6;4;8;5
144;07.09.2019 10:34;Control;3;0;66;0;4;1;3;0;1;5;6;7;9
145;07.09.2019 10:34;Trust_promise;5;0;69;1;3;1;3;0;NA;10;6;11;8
146;07.09.2019 10:33;Control;2;0;48;1;3;1;2;1;0;9;6;9;5
147;07.09.2019 10:34;Trust_promise;1;1;67;1;4;1;3;0;NA;6;4;6;6
148;07.09.2019 10:37;Trust_promise;2;0;67;0;4;1;1;1;NA;4;5;9;8
149;07.09.2019 10:35;Control;6;0;43;1;3;1;3;0;1;6;1;11;7
150;07.09.2019 10:38;Trust_promise;4;1;33;1;2;0;3;0;0;1;6;7;4
151;07.09.2019 10:46;Control;3;0;29;1;4;1;2;1;1;1;1;8;8
152;07.09.2019 10:39;Control;4;1;23;1;2;0;3;0;0;4;1;9;2
153;07.09.2019 10:38;Control;1;0;47;0;4;1;1;1;1;8;7;9;9
154;07.09.2019 10:40;Trust_promise;1;0;29;0;2;0;1;1;1;8;1;4;6
155;07.09.2019 10:42;Control;2;0;53;0;2;0;1;1;1;6;5;9;7
156;07.09.2019 10:43;Trust_promise;5;0;72;0;4;1;3;0;1;8;6;4;8
157;07.09.2019 10:42;Control;2;1;19;1;2;0;1;1;0;4;4;6;7
158;07.09.2019 10:47;Trust_promise;4;0;70;0;2;0;3;0;0;3;7;9;8
159;07.09.2019 10:46;Trust_promise;5;0;50;0;4;1;2;1;1;2;1;9;9
160;07.09.2019 10:46;Control;5;1;32;0;1;0;1;1;1;5;1;11;5
